email_id,AI Evaluation,Body Moved,audience_layer,body_full_text,business_function,discount_code,email_class,email_name,entry_criteria,hub,hubl_conditionals,hubspot_email_id,implementation_notes,journey_code,kpi,lifecycle_stage,personalization_level,personalization_tokens,preview_text,primary_cta,priority,send_sequence_order,status,subject_line,suppression_rules,timing
J1-E1,"Summary:
- Purpose: deliver the requested “Complete Guide to Undetectable Hair Systems” and set expectations for a short follow-up series.
- For: mixed audience of new leads/subscribers coming from the quiz/lead magnet, from the Marketing hub; subject line confirms the guide is ready.

Tone:
- Educational

CTA Clarity:
- Clear — it explicitly provides a download link for the guide and offers a secondary, straightforward option to reply with questions.

Subject Grade:
- Pass — specific and truthful (the guide is ready) and uses personalization without hype, urgency, or clickbait.",No,mixed,"Hi {{ contact.firstname | default(""there"") }},

Thanks for reaching out. I know this step takes real consideration, and I appreciate you taking it.

Here's the guide you requested:

[Download: The Complete Guide to Undetectable Hair Systems →]

A few things worth knowing up front:

- **Every system we build is made to your exact specifications** — base type, density, color, size. Nothing is generic.
- **Most of our customers tell us the hardest part was getting started.** Once you have your first system, the process becomes second nature.
- **You're not doing this alone.** I'm here to walk you through every decision, from base material to density to color matching.

Over the next week, I'll send you a few short emails covering the most important things to understand before your first order. No pressure — just clarity.

If you already have a question, reply to this email and I'll answer it directly.

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Welcome and Resource Delivery,First-time site visitor completes Hair Profile Quiz or downloads lead magnet,Marketing,No,,"- Marketing email, contact-triggered workflow
- Enrollment filter: `lifecyclestage = subscriber` AND form submission = [quiz or lead magnet form]
- Suppression: exclude contacts where `hsc_customer_profile_class = returning_customer` or `hsc_customer_profile_experience_level != first_system`

---",J1,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""there"") }}",Plus what to know before choosing your first system.,"Download guide (primary), Reply to email (secondary)",2,1,Copy Ready,"Your guide is ready, {{ contact.firstname | default(""there"") }}",Suppression: exclude contacts where `hsc_customer_profile_class = returning_customer` or `hsc_customer_profile_experience_level != first_system`,Immediate (within 5 minutes of form submission)
J1-E2,"Summary:
- Purpose: Share the founder’s personal story and explain why Hair Solutions exists, without trying to sell anything.
- For a mixed audience in the Marketing hub, with the subject line “Why I started Hair Solutions”.

Tone:
- Warm

CTA Clarity:
- Missing — the email explicitly avoids a hard sell and doesn’t ask the reader to take a specific next step.

Subject Grade:
- Pass — it’s specific and straightforward, with no hype, clickbait, or false urgency.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

Before Hair Solutions existed, I was the customer.

I spent months researching systems online, getting overwhelmed by conflicting advice, and ordering from companies that disappeared after taking my money. The product was fine. The experience was terrible.

I started Hair Solutions because I believed the process of getting a hair system should be as good as the result of wearing one.

Here's what that means in practice:

- **Personal spec building.** I help you nail the right base, density, and color before anything goes to production. No guessing.
- **Real materials expertise.** I know the difference between a French Lace and a Thin Skin Pro because I've worn both. I'll tell you what works and what doesn't.
- **Honest guidance.** If something isn't the right fit, I'll say so. I'd rather lose a sale than put you in a system that doesn't work for your lifestyle.

Hair systems changed my life. I'd like to help them change yours — whenever the timing is right.

Vincent
Founder, Hair Solutions Co.",Lead nurture,,Lifecycle,Brand Story and Mission,First-time site visitor completes Hair Profile Quiz or downloads lead magnet,Marketing,No,,"- Marketing email, delay-based in sequence
- No CTA button needed — this is pure brand-building

---",J1,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }}",This wasn't a business plan. It started with a problem I needed to solve.,"None (trust-building, no hard sell)",2,2,Copy Ready,Why I started Hair Solutions,,Day 2
J1-E3,"Summary:
- This email explains the real differences between lace, skin, mono, and hybrid hair system bases and helps a first-time audience decide what to choose.
- It’s for a mixed audience in the Marketing hub, and it invites them to reply or request a comparison chart, aligned with the subject line “Lace vs. skin — here's the real difference”.

Tone:
- Educational

CTA Clarity:
- Clear — it explicitly asks the reader to reply or request a comparison chart with photos.

Subject Grade:
- Pass — it’s specific and straightforward (sets up a clear comparison) without clickbait, all-caps, or false urgency.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

The most common question I get from first-time customers is: ""Which base should I choose?""

Here's the honest breakdown:

**Lace bases** (Swiss Lace, French Lace)
- Most natural-looking — you can see scalp through the mesh
- Breathable and lightweight
- Best for: realism at the hairline
- Attachment: tape, liquid adhesive, or clips sewn in
- Lifespan: 3–6 months depending on lace type

**Skin bases** (Nano Skin 0.03mm, Micro Skin 0.06mm, Thin Skin Pro 0.08mm, Dura Skin 0.12mm)
- Creates the illusion of a shaved scalp
- Easier to attach and remove with tape or liquid adhesive
- Best for: clean edges, simple maintenance
- Trade-off: thinner = more realistic but shorter lifespan. Nano Skin lasts 1–2 months, Dura Skin lasts 4–8 months

**Mono bases** (Mono Pro — fine-welded monofilament)
- Most durable base material with natural movement
- Breathable and comfortable for daily wear
- Attachment: tape or adhesive on PU perimeter; clips optional
- Lifespan: 5–8 months

**Hybrid bases** (Lace Edge 180/360, Mono Fusion LF, Thin Skin LF, and more)
- Combine two or three materials for the best of each
- Natural lace hairline + secure PU edges for easy bonding
- Attachment: tape or adhesive on PU perimeter sections
- Lifespan: 3–6 months

**The real question isn't which is ""best."" It's which matters more to you: the most natural look, or the easiest maintenance.**

{% if contact.hsc_customer_profile_primary_goal == ""realism"" %}
Based on what you shared, it sounds like realism matters most to you. I'd typically point someone in your situation toward a lace base — specifically French Lace if you want a balance of appearance and durability.
{% elif contact.hsc_customer_profile_primary_goal == ""durability"" %}
Based on what you shared, durability is your priority. A Dura Skin or Mono Pro base would likely serve you best — they hold up well and are straightforward to maintain.
{% elif contact.hsc_customer_profile_primary_goal == ""easy_cleanup"" %}
Based on what you shared, easy maintenance is key for you. Skin bases tend to be the simplest to work with for attachment and removal.
{% else %}
If you're not sure yet, that's completely normal. Most first-time customers start with a French Lace — it gives you a natural hairline with better durability than Swiss Lace.
{% endif %}

Want to talk through it? Reply here, or I can send you a comparison chart with photos.

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Educational — Understanding Base Types,First-time site visitor completes Hair Profile Quiz or downloads lead magnet,Marketing,Yes,,"- Marketing email with HubL smart content using `hsc_customer_profile_primary_goal`
- Requires programmable email module for the conditional blocks
- Fallback content covers contacts without goal data

---",J1,Reply / conversion to next journey stage,Subscriber,Advanced: HubL conditional / object-aware,"{{ contact.firstname | default(""Hey"") }}",It comes down to two things: how it looks and how long it lasts.,"Reply to email, or link to comparison page",2,3,Copy Ready,Lace vs. skin — here's the real difference,,Day 4
J1-E4,"Summary:
- Purpose: Link to testimonials/results page.
- For a mixed audience in the Marketing hub, with subject line “Real customers, real results”.

Tone:
- Warm

CTA Clarity:
- Vague — the email references “[See More Customer Results →]” but doesn’t include a specific destination or clear instruction beyond clicking.

Subject Grade:
- Pass — specific and credible, with no false urgency, gimmicks, or all-caps.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

I can talk about base types and density all day. But what actually builds confidence is seeing real results from people who were in the same position you are now.

Here are three customers who gave us permission to share their experience:

---

**Marcus, 34 — First-time wearer**
""I put off getting a system for two years because I was afraid it would look obvious. My Lace Pro looked natural from day one. My barber couldn't tell.""

**David, 42 — Switched from a competitor**
""I'd been ordering from overseas and dealing with color mismatches every time. Hair Solutions nailed my color on the second order and every order since.""

**James, 28 — Active lifestyle**
""I swim, I work out, I live in Florida heat. My French Lace system handles all of it. I forget I'm wearing it.""

---

A few things worth noting:

- **These results come from proper spec building.** The right density for your age, the right base for your activity level, the right color match.
- **Nobody's first system is always perfect.** Most customers make small adjustments (usually density or grey blend) on their second order. By order three, the spec is locked.
- **Modern systems are genuinely undetectable** when built correctly. Most concerns people have come from outdated perceptions of older products.

If you're ready to explore what's possible, I'd enjoy helping you figure out the right setup.

[See More Customer Results →]

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Social Proof Wall,First-time site visitor completes Hair Profile Quiz or downloads lead magnet,Marketing,No,,"- Marketing email
- Testimonial content should be dynamically swappable as new UGC becomes available
- Consider A/B testing subject lines: ""Real customers, real results"" vs. ""What {{ contact.firstname }} should know before ordering""

---",J1,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }} | {{ contact.firstname }}",See what our customers say about their first system.,Link to testimonials/results page,2,4,Copy Ready,"Real customers, real results",,Day 7
J1-E5,"Summary:
- Purpose: Invite the recipient to book a consultation or reply to start a no-obligation recommendation/quote process.
- For: A mixed audience in the Marketing hub (Journey J1) who recently visited the site and completed the Hair Profile Quiz or downloaded a lead magnet.

Tone:
- Warm

CTA Clarity:
- Clear — the email explains the 3-step process and includes a specific “Start My Consultation” link as the next action.

Subject Grade:
- Needs Review — “Ready when you are” is friendly but vague; it doesn’t clearly signal consultation/next step or the value of opening.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

Over the past week I've shared the most important things to understand about hair systems — base types, what to expect, and real customer experiences.

If you're ready to take the next step, here's what that looks like:

1. **You tell me a bit about your situation** — what coverage you need, your lifestyle, what matters most to you (realism, durability, budget, or easy maintenance).
2. **I recommend a specific system** — base type, density, hair type, and color direction tailored to you.
3. **If it feels right, I send you a quote.** No obligation.

The whole process takes about 10-15 minutes over email or WhatsApp. No phone call required unless you want one.

[Start My Consultation →]

If right now isn't the right time, no issue at all. I'll keep you on our list for helpful content, and you can reach out whenever you're ready.

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Consultation Invitation,First-time site visitor completes Hair Profile Quiz or downloads lead magnet,Marketing,No,,"- Marketing email
- If contact does NOT engage with this email, move to Journey 2 (Newsletter Nurture) after 7 more days of inactivity
- If contact DOES engage, route to lead qualification (doc 06) and active follow-up cadence (doc 10)

---",J1,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }}","No commitment, no pressure. Just clarity on your next step.",Link to consultation booking or reply-to-email prompt,2,5,Copy Ready,Ready when you are,,Day 10
J2-E2,"Summary:
- This email explains the basics of how a hair system works and links the reader to a guide on base types.
- It is for a mixed audience receiving Marketing emails who opted into the newsletter.

Tone:
- Educational

CTA Clarity:
- Clear — it directs the reader to click “Explore Our Base Types” to learn more.

Subject Grade:
- Pass — it is specific, not clickbait, and sets an accurate expectation about a quick explanation.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

If you've been curious about hair systems but haven't quite understood how they work, here's the simple version:

**The base** sits on your scalp. It's either a mesh (lace), a thin film (skin/poly), or a combination. This is the biggest decision — it determines how natural the system looks, how breathable it feels, and how long it lasts.

**The hair** is hand-tied or injected into the base. You choose the density (how thick), the color (matched to your natural hair), and the length. The goal is a look that's proportional and natural for your age — not ""too perfect.""

**The attachment** holds the system in place. Most customers use tape, adhesive, or a combination. A properly attached system stays put through workouts, swimming, wind, and sleep.

**The maintenance cycle:**
- Daily: wash and style like natural hair (5 minutes)
- Every 2–4 weeks: remove, clean scalp and base, reattach (30–45 minutes)
- Every 2–6 months: replace the system (lifespan depends on base type)

That's it. No surgery, no chemicals, no downtime. You order a system built to your spec, your barber or stylist cuts it in, and you style it how you want.

[Explore Our Base Types →]

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Educational Content — How Hair Systems Work,Newsletter opt-in without quiz or consultation request,Marketing,No,,,J2,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }}","Base, hair, attachment — that's it.",Link to base type guide,2,2,Copy Ready,How a hair system actually works (the 3-minute version),,Day 3
J2-E1,"Summary:
- This is a welcome email for people who just opted into the Hair Solutions newsletter (Newsletter Sign-Up Nurture, Marketing hub).
- It sets expectations for what content they’ll receive and invites them to reply with questions; subject: “You're in,  contact.firstname | default(""welcome"") ”.

Tone:
- Warm

CTA Clarity:
- Missing — there’s no action link or request besides an optional “reply to any email” invitation.

Subject Grade:
- Pass — it’s short and personalized without clickbait or false urgency, and it fits the welcome/confirmation purpose.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

Welcome to the Hair Solutions list.

Here's what you'll get from us:

- **Practical content** about hair systems — how they work, what they cost, how to maintain them
- **Real customer stories** — not stock-photo marketing, but actual experiences
- **New product and material updates** when we launch something worth knowing about

Here's what you'll never get:

- Pressure to buy before you're ready
- Medical claims or miracle promises
- Spam (we email 2-4 times per month max)

If you ever have a question — even a basic one — reply to any email and I'll answer it personally.

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Newsletter Welcome,Newsletter opt-in without quiz or consultation request,Marketing,No,,,J2,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""welcome"") }} | {{ contact.firstname | default(""Hey"") }}",What to expect from us (and what we'll never do).,None (tone-setting only),2,1,Copy Ready,"You're in, {{ contact.firstname | default(""welcome"") }}",,Immediate
J2-E3,"Summary:
- Purpose: Share style inspiration and drive clicks to the customer style gallery/lookbook.
- For mixed newsletter subscribers in the Marketing hub; subject line “5 styles our customers are wearing right now” previews five popular hair system styles.

Tone:
- Educational

CTA Clarity:
- Vague — it says “See Customer Style Gallery” but doesn’t include a clear URL or tell the reader exactly where they’ll land or what to do next.

Subject Grade:
- Pass — specific and relevant (five styles customers are wearing), no clickbait or false urgency, and uses normal capitalization.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

One of the best things about a hair system is that you can style it exactly the way you want. Here are five popular styles our customers are wearing right now:

1. **The textured crop** — short on the sides, textured on top. Works with 80% density and slight wave. Low maintenance.
2. **The classic slick-back** — requires straight hair, 100% density, and 6""+ length. Clean and professional.
3. **The natural curl** — body wave or curly hair type with 80-100% density. Very natural movement.
4. **The fade blend** — shorter system hair blended into a skin fade. Requires a barber who can cut in a system (we can help you find one).
5. **The grey blend** — 10-30% grey mixed into natural color. Adds realism for men 35+.

The key to a natural look is matching density to your age and lifestyle. A 25-year-old can pull off 100% density. A 45-year-old looks more natural at 70-80%. This is one of the most important decisions we help with during spec building.

[See Customer Style Gallery →]

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Style Inspiration,Newsletter opt-in without quiz or consultation request,Marketing,No,,,J2,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }}",From textured crops to slick-backs — what's working.,Link to gallery/lookbook,2,3,Copy Ready,5 styles our customers are wearing right now,,Day 7
J2-E4,"Summary:
- Purpose: Get the reader to reply so the sender can recommend a low-maintenance hair system base type.
- For Newsletter Sign-Up Nurture (J2) subscribers (audience: mixed) from the Marketing hub; subject line: “The maintenance routine most customers follow”.

Tone:
- Educational

CTA Clarity:
- Clear — it directly asks the reader to reply if maintenance is their main concern so the sender can recommend a base type.

Subject Grade:
- Pass — it’s specific, realistic, and descriptive (no clickbait, no all-caps, no false urgency).",No,mixed,"{{ contact.firstname | default(""Hey"") }},

One of the biggest concerns I hear from people considering a hair system is: ""How much work is it?""

The honest answer: less than you think.

**Daily (2-3 minutes):**
- Wash and condition with sulfate-free shampoo — same as natural hair
- Style with alcohol-free product (alcohol degrades adhesive)
- That's it

**Every 2–4 weeks (30–45 minutes):**
- Remove the system using a gentle solvent (like Lace Release)
- Clean your scalp and the base
- Reapply tape or adhesive
- Reattach and style

**Every 2–6 months:**
- Order your next system (we remind you based on your base type)
- Your barber cuts it in — takes about 30 minutes

**Things that are totally fine:**
- Swimming (salt water and chlorine — just rinse after)
- Working out and sweating
- Sleeping (no removal needed)
- Wind and rain

The biggest adjustment is the first two weeks. After that, most customers say it becomes completely automatic.

If maintenance is your main concern, reply and I'll recommend the lowest-maintenance base type for your situation.

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Maintenance Tips — Seasonal,Newsletter opt-in without quiz or consultation request,Marketing,No,,,J2,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }}",15 minutes every 2–4 weeks. That's it.,Reply for recommendation,2,4,Copy Ready,The maintenance routine most customers follow,,Day 14
J2-E5,"Summary:
- Purpose: Invite the recipient to book a consultation, framed as the next step when they feel ready.
- Audience: mixed newsletter subscribers; subject line is “Whenever you're ready” and it comes from the Marketing hub.

Tone:
- Warm

CTA Clarity:
- Clear — the email explains what the consultation involves and includes a direct “Start a Consultation →” link.

Subject Grade:
- Pass — it’s specific to the reader’s readiness, avoids clickbait/all-caps, and matches the low-pressure message in the body.",No,mixed,"{{ contact.firstname | default(""Hey"") }},

Over the past few weeks you've gotten a decent picture of how hair systems work — the base types, the styles, the maintenance.

If you're still in research mode, that's completely fine. Take your time. You'll keep getting our best content, and you can reach out whenever a question comes up.

If you're starting to feel ready, here's how the process works:

1. **We talk** — email, WhatsApp, or phone. Whatever you prefer. I'll ask a few questions about your situation and what matters most to you.
2. **I recommend a system** — not a catalog of options, but one specific recommendation tailored to you.
3. **You decide** — no pressure, no time limits. If the quote makes sense, we build it. If not, no hard feelings.

Most first-time consultations take 10-15 minutes.

[Start a Consultation →]

Vincent
Hair Solutions Co.",Lead nurture,,Lifecycle,Soft Consultation Invite,Newsletter opt-in without quiz or consultation request,Marketing,No,,"- After this email, contacts who don't engage transition to ongoing monthly newsletter cadence (80% educational, 20% promotional per the framework)
- Contacts who engage should be routed to active qualification (doc 06) and Journey 1's follow-up outreach

---",J2,Reply / conversion to next journey stage,Subscriber,Standard: simple personalization,"{{ contact.firstname | default(""Hey"") }}",No rush. But here's what the next step looks like.,Consultation booking link,2,5,Copy Ready,Whenever you're ready,,Day 21
